suiteProfile,nodeType,networkElementId,networkElementRange,ipAddress,sync,start,ossPrefix,port,transportType,buildNetsimObjects,platformType,ossModelIdentity

maintrack,ERBS,LTE02ERBS00042,,192.168.2.42,sync,start,"MeContext=LTE02ERBS00042",,,,,
maintrack,ERBS,LTE02ERBS00043,,192.168.2.43,sync,start,"MeContext=LTE02ERBS00043",,,,,
maintrack,ERBS,LTE02ERBS00150,,192.168.2.150,sync,start,"MeContext=LTE02ERBS00150",,,,,
maintrack,ERBS,LTE02ERBS00155,,192.168.2.151,sync,start,"MeContext=LTE02ERBS00155",,,,,
maintrack,ERBS,LTE05ERBS00042,,192.168.5.42,sync,start,"MeContext=LTE05ERBS00042",,,,,
maintrack,ERBS,LTE05ERBS00043,,192.168.5.43,sync,start,"MeContext=LTE05ERBS00043",,,,,
maintrack,ERBS,LTE17ERBS00043,,192.168.5.150,,,"MeContext=LTE17ERBS00043",,,,,
maintrack,ERBS,LTE17ERBS00150,,192.168.5.151,,,"MeContext=LTE17ERBS00150",,,,,
maintrack,ERBS,LTE11ERBS00042,,192.168.11.42,sync,start,"MeContext=LTE11ERBS00042",,,,,
maintrack,ERBS,LTE11ERBS00151,,192.168.11.151,sync,start,"MeContext=LTE11ERBS00151",,,,,

maintrack,SGSN-MME,SGSN-16A-CP01-V110,,192.168.105.29,,start,"MeContext=SGSN-16A-CP01-V110",22,SSH,,,
#maintrack,SGSN-MME,SGSN-16A-CP01-V124,,192.168.105.3,,start,"MeContext=SGSN-16A-CP01-V124",22,SSH,,,

maintrack,RadioNode,LTE03dg2ERBS00037,,192.168.100.252,,,,6513,TLS,,,
maintrack,RadioNode,LTE01dg2ERBS00032,,192.168.100.249,sync,start,,6513,TLS,true,,
maintrack,RadioNode,LTE01dg2ERBS00037,,192.168.100.250,sync,start,,6513,TLS,true,,
maintrack,RadioNode,LTE01dg2ERBS00146,,192.168.100.251,sync,start,,6513,TLS,true,,
maintrack,RadioNode,LTE01dg2ERBS00038,,192.168.100.253,sync,start,,6513,TLS,true,,
maintrack,RadioNode,LTE15dg2ERBS00037,,192.168.100.250,sync,start,,6513,TLS,true,,
maintrack,RadioNode,LTE15dg2ERBS00146,,192.168.100.250,sync,start,,6513,TLS,true,,
maintrack,RadioNode,LTE15dg2ERBS00038,,192.168.100.253,sync,start,,6513,TLS,true,,
maintrack,RadioNode,LTE03dg2ERBS00146,,192.168.100.254,sync,start,,6513,TLS,true,,

extra,ERBS,LTE02ERBS00121,,,sync,start,"MeContext=LTE02ERBS00121",,,,,
extra,ERBS,LTE02ERBS00122,,,sync,start,"MeContext=LTE02ERBS00122",,,,,
extra,ERBS,LTE05ERBS00123,,,sync,start,"MeContext=LTE05ERBS00123",,,,,
extra,ERBS,LTE05ERBS00124,,,sync,start,"MeContext=LTE05ERBS00124",,,,,
extra,ERBS,LTE08ERBS00125,,,sync,start,"MeContext=LTE08ERBS00125",,,,,
extra,ERBS,LTE08ERBS00126,,,sync,start,"MeContext=LTE08ERBS00126",,,,,
extra,ERBS,LTE11ERBS00127,,,sync,start,"MeContext=LTE11ERBS00127",,,,,

extra,ERBS,LTE08ERBS00145,,,sync,start,"MeContext=LTE08ERBS00145",,,,,
extra,ERBS,LTE08ERBS00146,,,sync,start,"MeContext=LTE08ERBS00146",,,,,
extra,ERBS,LTE11ERBS00147,,,sync,start,"MeContext=LTE11ERBS00147",,,,,
extra,ERBS,LTE11ERBS00148,,,sync,start,"MeContext=LTE11ERBS00148",,,,,
extra,ERBS,LTE14ERBS00145,,,sync,start,"MeContext=LTE14ERBS00145",,,,,
extra,ERBS,LTE14ERBS00146,,,sync,start,"MeContext=LTE14ERBS00146",,,,,

extra,RadioNode,LTE15dg2ERBS00103,,,sync,start,,6513,TLS,true,,
extra,RadioNode,LTE15dg2ERBS00104,,,sync,start,,6513,TLS,true,,
extra,RadioNode,LTE03dg2ERBS00105,,,sync,start,,6513,TLS,true,,

extra,RadioNode,LTE15dg2ERBS00145,,,sync,start,,6513,TLS,true,,
extra,RadioNode,LTE15dg2ERBS00147,,,sync,start,,6513,TLS,true,,
extra,RadioNode,LTE13dg2ERBS00147,,,sync,start,,6513,TLS,true,,



