suiteProfile,nodeType,networkElementId,networkElementRange,ipAddress,sync,start,ossPrefix,port,transportType,buildNetsimObjects,platformType,ossModelIdentity

maintrack,ERBS,LTE02ERBS00033,,192.168.2.42,sync,start,"MeContext=LTE02ERBS00033",,,,,
maintrack,ERBS,LTE02ERBS00034,,192.168.2.43,sync,start,"MeContext=LTE02ERBS00034",,,,,
maintrack,ERBS,LTE02ERBS00037,,192.168.2.150,sync,start,"MeContext=LTE02ERBS00037",,,,,
maintrack,ERBS,LTE02ERBS00039,,192.168.2.151,sync,start,"MeContext=LTE02ERBS00039",,,,,
maintrack,ERBS,LTE05ERBS00035,,192.168.5.42,sync,start,"MeContext=LTE05ERBS00035",,,,,
maintrack,ERBS,LTE05ERBS00036,,192.168.5.43,sync,start,"MeContext=LTE05ERBS00036",,,,,
maintrack,ERBS,LTE05ERBS00039,,192.168.5.150,,,"MeContext=LTE05ERBS00039",,,,,
maintrack,ERBS,LTE05ERBS00040,,192.168.5.151,,,"MeContext=LTE05ERBS00040",,,,,

maintrack,SGSN-MME,SGSN-16A-CP03-V104,,192.168.105.29,,start,"MeContext=SGSN-16A-CP03-V104",22,SSH,,,
#maintrack,SGSN-MME,CORE10SGSN004,,192.168.105.3,,start,"MeContext=CORE10SGSN004",22,SSH,,,

maintrack,RadioNode,LTE01dg2ERBS00032,,192.168.100.249,sync,start,,6513,TLS,true,,
maintrack,RadioNode,LTE01dg2ERBS00033,,192.168.100.250,sync,start,,6513,TLS,true,,
maintrack,RadioNode,LTE01dg2ERBS00038,,192.168.100.251,sync,start,,6513,TLS,true,,
maintrack,RadioNode,LTE01dg2ERBS00034,,192.168.100.253,sync,start,,6513,TLS,true,,
maintrack,RadioNode,LTE04dg2ERBS00036,,192.168.100.254,sync,start,,6513,TLS,true,,
maintrack,RadioNode,LTE04dg2ERBS00035,,192.168.100.252,,,,6513,TLS,,,

skipmaintrack,MSRBS_V1,LTE09pERBS00015,,192.168.100.2,sync,start,,6513,TLS,true,,

extra,ERBS,LTE02ERBS00021,LTE02ERBS00021@@@LTE02ERBS00026,,sync,start,,,,,,
extra,ERBS,LTE02ERBS00027,,,sync,start,,,,,,
extra,ERBS,LTE02ERBS00037,LTE02ERBS00037@@@LTE02ERBS00040,,sync,start,,,,,,
extra,ERBS,LTE05ERBS00037,LTE05ERBS00037@@@LTE05ERBS00038,,sync,start,,,,,,

extra,RadioNode,LTE01dg2ERBS00033,LTE01dg2ERBS00033@@@LTE01dg2ERBS00035,,sync,start,,6513,TLS,true,,
extra,RadioNode,LTE04dg2ERBS00037,LTE04dg2ERBS00037@@@LTE04dg2ERBS00039,,sync,start,,6513,TLS,true,,

setup,ERBS,LTE02ERBS00021,LTE02ERBS00021@@@LTE02ERBS00022,,sync,start,,,,,,
setup,ERBS,LTE05ERBS00037,LTE05ERBS00037@@@LTE05ERBS00038,,sync,start,,,,,,

setup,RadioNode,LTE01dg2ERBS00033,LTE01dg2ERBS00033@@@LTE01dg2ERBS00035,,sync,start,,6513,TLS,true,,
setup,RadioNode,LTE04dg2ERBS00037,LTE04dg2ERBS00037@@@LTE04dg2ERBS00040,,sync,start,,6513,TLS,true,,

